angry,disgusted,fearful,happy,neutral,sad,surprised,time
0.0,0.0,0.0,0.17,0.72,0.11,0.0,13:26
0.0,0.0,0.0,0.01,0.07,0.92,0.0,13:3
0.0,0.0,0.0,0.17,0.83,0.01,0.0,13:32
0.0,0.0,0.0,0.26,0.73,0.01,0.0,13:34
0.0,0.0,0.0,0.12,0.68,0.19,0.0,13:4
0.0,0.0,0.01,0.01,0.88,0.1,0.01,13:42
0.0,0.0,0.0,0.1,0.78,0.12,0.0,13:44
0.0,0.0,0.0,0.03,0.93,0.03,0.0,13:46
0.0,0.0,0.0,0.05,0.8,0.15,0.0,13:48
0.0,0.0,0.0,0.03,0.94,0.02,0.0,13:52
0.0,0.0,0.0,0.42,0.48,0.08,0.01,13:54
0.0,0.0,0.0,0.03,0.93,0.05,0.0,13:56
0.0,0.0,0.0,0.07,0.48,0.45,0.0,13:58
0.0,0.0,0.0,0.06,0.86,0.08,0.0,14:0
0.0,0.0,0.0,0.38,0.55,0.05,0.01,14:6
0.0,0.0,0.01,0.03,0.53,0.42,0.0,14:8
0.0,0.0,0.0,0.9,0.07,0.02,0.0,14:1
0.0,0.0,0.0,0.09,0.73,0.18,0.0,14:12
0.0,0.0,0.0,0.98,0.02,0.0,0.0,14:14
0.0,0.0,0.0,0.77,0.08,0.14,0.0,14:16
0.0,0.0,0.0,0.7,0.3,0.0,0.0,14:18
0.0,0.0,0.0,0.38,0.62,0.0,0.0,14:2
0.0,0.0,0.0,1.0,0.0,0.0,0.0,14:22
0.0,0.0,0.0,1.0,0.0,0.0,0.0,14:28
0.0,0.0,0.0,1.0,0.0,0.0,0.0,14:3
0.0,0.0,0.0,1.0,0.0,0.0,0.0,14:32
0.0,0.0,0.0,1.0,0.0,0.0,0.0,14:34
0.0,0.0,0.0,1.0,0.0,0.0,0.0,14:36
0.0,0.0,0.0,1.0,0.0,0.0,0.0,14:38
0.0,0.0,0.0,0.94,0.05,0.01,0.0,14:4
0.0,0.0,0.0,0.96,0.03,0.0,0.0,14:42
0.0,0.0,0.0,0.96,0.04,0.01,0.0,14:44
0.0,0.0,0.0,0.66,0.25,0.08,0.0,14:46
0.0,0.0,0.0,0.77,0.22,0.01,0.0,14:48
0.0,0.0,0.0,0.62,0.26,0.11,0.01,14:5
0.0,0.0,0.0,0.75,0.18,0.07,0.0,14:52
0.0,0.0,0.0,0.66,0.2,0.14,0.0,14:54
0.0,0.0,0.0,0.95,0.05,0.0,0.0,14:56
0.0,0.0,0.02,0.53,0.31,0.11,0.04,14:58
0.0,0.0,0.0,0.93,0.07,0.0,0.0,15:0
0.0,0.0,0.0,0.1,0.82,0.07,0.0,15:6
0.0,0.0,0.0,0.24,0.71,0.05,0.0,15:8
0.0,0.0,0.0,0.08,0.72,0.21,0.0,15:1
0.0,0.0,0.0,0.02,0.94,0.02,0.01,15:12
0.0,0.0,0.0,0.11,0.88,0.0,0.01,15:14
0.0,0.0,0.0,0.32,0.61,0.01,0.05,15:16
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15:18
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15:2
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15:22
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15:24
